State,Abbreviation,CurrentSupport,TotalHours,NightHours,Exactly50Hours,DocumentationCategory,ElectronicLogAccepted,DriverEducationAlternative,AgeOrPathwayException,OfficialSourceTitle,OfficialSourceURL,AccessedDate,VerificationStatus
Alabama,AL,false,50,0,true,"Certification Only",No,"50 hours waived with approved driver education","Under 18 GDL; driver-ed alternative","Graduated Driver License","https://www.alea.gov/dps/driver-license/license-and-id-cards/graduated-driver-license",2026-08-16,"Verified — official source and IIHS cross-check"
Alaska,AK,false,40,10,false,"Certification Only",No,No,"Under 18 provisional pathway","Provisional License","https://dmv.alaska.gov/credential-services/provisional-license/",2026-08-16,"Verified — official source and IIHS cross-check"
"Arizona",AZ,false,30,10,false,"Certification Only",No,"20/6 with approved defensive-driving course; 0 with approved driver education","Under 18 graduated license","Teen Driver Guide to Class G Permit and License","https://azdot.gov/mvd/services/driver-services/teen-drivers/permit-and-license-requirements",2026-08-16,"Verified — official source and IIHS cross-check"
"Arkansas",AR,false,,,false,"No Requirement Found",No,No,Ages 14–17 graduated stages,"Learner's and Intermediate License","https://www.dfa.arkansas.gov/office/driver-services/licenses-ids-permits/graduated-licenses/learners-and-intermediate-license/",2026-08-16,"Verified — official source and IIHS cross-check"
"California",CA,false,50,10,true,"Certification Only",No,"Driver education/training required for provisional path","Under 18; applicants may wait until 18","Teen Driver Tips","https://www.dmv.ca.gov/portal/driver-education-and-safety/special-interest-driver-guides/teen-drivers/",2026-08-16,"Verified — official source and IIHS cross-check"
Colorado,CO,false,50,10,true,Detailed Log Required,No,"Driver education/awareness affects permit age","Under 18 pathway","Permits and First-Time Driver License","https://dmv.colorado.gov/permits-first-time-driver-license",2026-08-16,"Verified — official source and IIHS cross-check"
"Connecticut",CT,false,40,0,false,"Certification Only",No,"Permit holding period 120 days with school; 180 days home training",Ages 16–17,"Get a Driver's License for a Teenager","https://portal.ct.gov/dmv/licenses-permits-ids/teen-drivers-license",2026-08-16,"Verified — official source and IIHS cross-check"
Delaware,DE,false,50,10,true,"Certification Only",Yes,"Driver education required under 18","Level One permit; sponsor-controlled pathway","Graduated Driver License","https://dmv.de.gov/DriverServices/drivers_license/index.shtml?dc=dr_lic_grad_dl",2026-08-16,"Verified — official source and IIHS cross-check"
District of Columbia,DC,false,40,10,false,"Certification Only","Unclear",No,"Under 21 GRAD pathway; 10 night hours occur in provisional stage","Gradual Rearing of Adult Drivers (GRAD) Program",https://dmv.dc.gov/service/grad-program,2026-08-16,"Verified — official source and IIHS cross-check"
Florida,FL,false,50,10,true,"Certification Only",No,No,"Under 18 learner pathway","Licensing Requirements for Teens","https://www.flhsmv.gov/driver-licenses-id-cards/licensing-requirements-teens-graduated-driver-license-laws-driving-curfews/",2026-08-16,"Verified — official source and IIHS cross-check"
Georgia,GA,false,40,6,false,"Certification Only",No,"Driver education required for Class D under 18",Joshua's Law pathway,"Teen Drivers",https://dds.georgia.gov/how-do-i-class-d,2026-08-16,"Verified — official source and IIHS cross-check"
Hawaii,HI,false,50,10,true,"Certification Only",No,"Driver education required under 18","Provisional license pathway by county","Graduated Driver Licensing Program","https://hidot.hawaii.gov/highways/safe-communites/driver-education-contact-information/",2026-08-16,"Qualified — official source found; publication caveat retained"
Idaho,ID,false,50,10,true,Detailed Log Required,No,"Driver training required under 17","Under 17 supervised instruction permit","Supervised Instruction Permit Program","https://itd.idaho.gov/itddmv/?target=drivers-license-id-cards",2026-08-16,"Qualified — official source found; publication caveat retained"
"Illinois",IL,false,50,10,true,"Certification Only",No,"Driver education required for teen pathway","Under 18 graduated license","Graduated Driver Licensing Program","https://www.ilsos.gov/departments/drivers/teen_driver_safety/gdl.html",2026-08-16,"Verified — official source and IIHS cross-check"
"Indiana",IN,false,50,10,true,Detailed Log Required,"Unclear","Hours required even with driver education","Learner-permit holders; rules differ by age/supervisor","Driver's License — Log of Supervised Driving","https://www.in.gov/bmv/licenses-permits-ids/learners-permits-and-drivers-licenses-overview/drivers-license/",2026-08-16,"Verified — official source and IIHS cross-check"
Iowa,IA,false,20,2,false,"Certification Only",No,"Driver education required for intermediate license under 18","Additional 10 hours/2 night in intermediate stage for full license","Minor Driver License","https://iowadot.gov/mvd/driverslicense/under-18",2026-08-16,"Verified — official source and IIHS cross-check"
"Kansas",KS,false,50,10,true,"Certification Only",No,"Driver education enables restricted license before 16","25 hours needed for restricted license; 50 before full privileges","Teen Driving","https://www.ksrevenue.gov/dovgdl.html",2026-08-16,"Verified — official source and IIHS cross-check"
"Kentucky",KY,false,60,10,false,Detailed Log Required,No,No,"Under 18 GDL","Graduated Driver Licensing Program",https://drive.ky.gov/Drivers/Pages/GDLP.aspx,2026-08-16,"Verified — official source and IIHS cross-check"
"Louisiana",LA,false,50,15,true,"Certification Only",No,"Driver education required","Minor licensing pathway","Minor Driver's License","https://expresslane.dps.louisiana.gov/CDLForms/CLASS%20E%20Learners%20Permit.pdf",2026-08-16,"Qualified — official source found; publication caveat retained"
"Maine",ME,false,70,10,false,"Certification Only",No,"Driver education required under 18","Certification applies to applicants under 21","How to Apply for a Driver License","https://www.maine.gov/sos/bmv/licenses/age.html",2026-08-16,"Verified — official source and IIHS cross-check"
"Maryland",MD,false,60,10,false,Detailed Log Required,No,"Driver education required for all applicants","60 hours under 25; 14 hours age 25+","Rookie Driver — Learner's Permit","https://mva.maryland.gov/drivers/Pages/rookie-driver-general-learners.aspx",2026-08-16,"Verified — official source and IIHS cross-check"
Massachusetts,MA,false,40,0,false,"Certification Only",Yes,30 hours after approved closed-course skills program,"Under 18 JOL pathway","Junior Operator License Requirements","https://www.mass.gov/info-details/junior-operator-license-jol-requirements",2026-08-16,"Verified — official source and IIHS cross-check"
"Michigan",MI,true,50,10,true,Detailed Log Required,Yes,"Two driver-education segments required under 18","Under 18 GDL","Supervised Driving Guide","https://www.michigan.gov/sos/-/media/Project/Websites/sos/License-and-ID/New-drivers/Supervised-Driving-Guide.pdf",2026-08-16,"Verified — official source and IIHS cross-check"
"Minnesota",MN,false,40,15,false,Detailed Log Required,"Unclear","50 total if parent does not complete supplemental curriculum","Under 18 provisional path","Class D Provisional License","https://dps.mn.gov/divisions/dvs/Pages/dvs-content-detail.aspx?pageID=555",2026-08-16,"Verified — official source and IIHS cross-check"
Mississippi,MS,false,,,false,"No Requirement Found",No,"Driver education affects eligibility in national table","Teen permit/intermediate pathway","Regular Learner's Permit","https://www.driverservicebureau.dps.ms.gov/Drivers/Learners_Permit",2026-08-16,"Verified — official source and IIHS cross-check"
Missouri,MO,false,40,10,false,"Certification Only",No,No,"Under 18 intermediate license","Graduated Driver License Law","https://dor.mo.gov/driver-license/issuance/graduated-driver-license/details.html",2026-08-16,"Verified — official source and IIHS cross-check"
